idx,geom
46,"POLYGON((9.752045862254663 52.34427524933569,9.75105686656783 52.34427524933569,9.750837089748533 52.344055472516395,9.750727201338885 52.34372580728745,9.750617312929236 52.343286253648856,9.75105686656783 52.34317636523921,9.751276643387126 52.34317636523921,9.75226563907396 52.343286253648856,9.752155750664311 52.34416536092604,9.752045862254663 52.34427524933569))"
47,"POLYGON((9.7468811070012 52.345593910251466,9.746111888133662 52.34482469138393,9.746111888133662 52.34471480297428,9.746990995410847 52.344055472516395,9.747100883820496 52.344055472516395,9.747540437459088 52.34416536092604,9.747650325868737 52.34427524933569,9.747979991097681 52.34526424502252,9.747540437459088 52.34548402184182,9.7468811070012 52.345593910251466))"
48,"POLYGON((9.741496574928437 52.35812118895136,9.741057021289844 52.35680252803558,9.741496574928437 52.35658275121629,9.742815235844215 52.35647286280663,9.742925124253864 52.35647286280663,9.74314490107316 52.35669263962593,9.74314490107316 52.35680252803558,9.742595459024919 52.35757174690312,9.742265793795974 52.35801130054171,9.74193612856703 52.35834096577066,9.741496574928437 52.35812118895136))"
49,"POLYGON((9.747760214278385 52.34724223639619,9.747760214278385 52.34647301752865,9.747979991097681 52.34647301752865,9.748419544736272 52.34735212480584,9.748309656326624 52.347462013215484,9.748199767916976 52.347462013215484,9.747760214278385 52.34724223639619))"
50,"POLYGON((9.736991150132862 52.3588904078189,9.736991150132862 52.35878051940925,9.739738360374067 52.35581353234875,9.739848248783716 52.3557036439391,9.739298806735475 52.357132193264526,9.738529587867937 52.358231077361005,9.737980145819696 52.35856074258995,9.736991150132862 52.3588904078189))"
51,"POLYGON((9.748749209965217 52.35020922345669,9.748639321555569 52.35020922345669,9.748639321555569 52.348451008902316,9.749408540423106 52.34812134367338,9.748749209965217 52.35020922345669))"
52,"POLYGON((9.75226563907396 52.34603346389006,9.751935973845015 52.345374133432166,9.751935973845015 52.34526424502252,9.75226563907396 52.34449502615499,9.753034857941497 52.34504446820323,9.753034857941497 52.34548402184182,9.752485415893256 52.34603346389006,9.75226563907396 52.34603346389006))"
53,"POLYGON((9.746111888133662 52.35328609892684,9.74435367357929 52.35207732642071,9.745782222904717 52.350758665504934,9.7468811070012 52.350538888685634,9.747760214278385 52.35086855391458,9.747760214278385 52.35097844232423,9.747540437459088 52.35185754960141,9.746661330181903 52.35295643369789,9.746111888133662 52.35328609892684))"
54,"POLYGON((9.7377603690004 52.36251672533729,9.73710103854251 52.36229694851799,9.737210926952159 52.3616376180601,9.737320815361807 52.3614178412408,9.737650480590752 52.3614178412408,9.739408695145123 52.361527729650454,9.73896914150653 52.361857394879394,9.738639476277585 52.362077171698694,9.7377603690004 52.36251672533729))"
55,"POLYGON((9.749408540423106 52.34515435661287,9.749298652013458 52.34372580728745,9.749298652013458 52.3436159188778,9.749408540423106 52.34350603046815,9.750177759290644 52.343286253648856,9.750507424519588 52.343286253648856,9.750617312929236 52.34350603046815,9.750727201338885 52.344055472516395,9.750507424519588 52.34449502615499,9.74973820565205 52.34515435661287,9.749408540423106 52.34515435661287))"
