Timestamp,filename,first_lat,first_lon,last_lat,last_lon
1721042600.0,maschsee_2024_07_15_11_23_20_20,52.3610293,9.739799583,52.36005335,9.7405354
1721042720.0,maschsee_2024_07_15_11_25_20_21,52.36005335,9.7405354,52.359258567,9.741123367
1721042840.0,maschsee_2024_07_15_11_27_20_22,52.359258567,9.741123367,52.3592667,9.741165583
1721042960.0,maschsee_2024_07_15_11_29_20_23,52.3592667,9.741165583,52.359359517,9.74108085
1721043080.0,maschsee_2024_07_15_11_31_20_24,52.359359683,9.741080583,52.359495617,9.740945883
1721043200.0,maschsee_2024_07_15_11_33_20_25,52.359495617,9.740945883,52.359110367,9.741354483
1721043320.0,maschsee_2024_07_15_11_35_20_26,52.359110367,9.741354483,52.3579188,9.74217705
1721043440.0,maschsee_2024_07_15_11_37_20_27,52.3579188,9.74217705,52.356744667,9.743075067
1721043560.0,maschsee_2024_07_15_11_39_20_28,52.356744667,9.743075067,52.355595467,9.7440532
1721043680.0,maschsee_2024_07_15_11_41_20_29,52.355595467,9.7440532,52.354657417,9.7447735
1721043800.0,maschsee_2024_07_15_11_43_20_30,52.354657417,9.7447735,52.353351083,9.745933617
1721043920.0,maschsee_2024_07_15_11_45_20_31,52.353351083,9.745933617,52.352270583,9.746846467
1721044040.0,maschsee_2024_07_15_11_47_20_32,52.352270583,9.746846467,52.351222883,9.7477677
1721044160.0,maschsee_2024_07_15_11_49_20_33,52.351222883,9.7477677,52.350097683,9.748554583
1721044280.0,maschsee_2024_07_15_11_51_20_34,52.350097683,9.748554583,52.34902395,9.749440333
1721044400.0,maschsee_2024_07_15_11_53_20_35,52.34902395,9.749440333,52.3478757,9.750137983
1721044520.0,maschsee_2024_07_15_11_55_20_36,52.3478757,9.750137983,52.347635733,9.751381333
1721044640.0,maschsee_2024_07_15_11_57_20_37,52.347635733,9.751381333,52.3467009,9.75187405
1721044760.0,maschsee_2024_07_15_11_59_20_38,52.3467009,9.75187405,52.345448767,9.752517417
1721044880.0,maschsee_2024_07_15_12_01_20_39,52.345448767,9.752517417,52.344590633,9.751780733
1721045000.0,maschsee_2024_07_15_12_03_20_40,52.344590633,9.751780733,52.344024983,9.750320033
1721045120.0,maschsee_2024_07_15_12_05_20_41,52.344024983,9.750320033,52.343977633,9.749948367
1721045240.0,maschsee_2024_07_15_12_07_20_42,52.343977633,9.749948367,52.344015267,9.748962383
1721045360.0,maschsee_2024_07_15_12_09_20_43,52.344015267,9.748962383,52.34439715,9.74784235
1721045480.0,maschsee_2024_07_15_12_11_20_44,52.34439715,9.74784235,52.343926933,9.748732283
1721045600.0,maschsee_2024_07_15_12_13_20_45,52.343926933,9.748732283,52.344303317,9.747711583
1721045720.0,maschsee_2024_07_15_12_15_20_46,52.344303317,9.747711583,52.344832483,9.747100433
1721045840.0,maschsee_2024_07_15_12_17_20_47,52.344832483,9.747100433,52.345072083,9.74793205
1721045960.0,maschsee_2024_07_15_12_19_20_48,52.345072083,9.74793205,52.3449736,9.748147983
1721046080.0,maschsee_2024_07_15_12_21_20_49,52.3449736,9.748147983,52.344191517,9.749146067
1721046200.0,maschsee_2024_07_15_12_23_20_50,52.344191517,9.749146067,52.344472017,9.747760933
1721046320.0,maschsee_2024_07_15_12_25_20_51,52.344472017,9.747760933,52.3445991,9.749104667
1721046440.0,maschsee_2024_07_15_12_27_20_52,52.3445991,9.749104667,52.3448059,9.75098205
1721046560.0,maschsee_2024_07_15_12_29_20_53,52.3448059,9.75098205,52.344974133,9.751035633
1721046680.0,maschsee_2024_07_15_12_31_20_54,52.344974133,9.751035633,52.345212117,9.75219275
1721046800.0,maschsee_2024_07_15_12_33_20_55,52.345212117,9.75219275,52.34500065,9.751433667
1721046920.0,maschsee_2024_07_15_12_35_20_56,52.34500065,9.751433667,52.344958717,9.751214617
1721047040.0,maschsee_2024_07_15_12_37_20_57,52.344958717,9.751214617,52.345109817,9.751644283
1721047160.0,maschsee_2024_07_15_12_39_20_58,52.345109817,9.751644283,52.345842717,9.751306733
1721047280.0,maschsee_2024_07_15_12_41_20_59,52.345842717,9.751306733,52.346406117,9.750863467
1721047400.0,maschsee_2024_07_15_12_43_20_60,52.346406117,9.750863467,52.347225367,9.750065233
1721047520.0,maschsee_2024_07_15_12_45_20_61,52.347225367,9.750065233,52.348077083,9.749300883
1721047640.0,maschsee_2024_07_15_12_47_20_62,52.348077083,9.749300883,52.348943267,9.748541933
1721047760.0,maschsee_2024_07_15_12_49_20_63,52.348943267,9.748541933,52.349742833,9.747535967
1721047880.0,maschsee_2024_07_15_12_51_20_64,52.349742833,9.747535967,52.350566367,9.746575417
1721048000.0,maschsee_2024_07_15_12_53_20_65,52.350566367,9.746575417,52.351368133,9.745524467
1721048120.0,maschsee_2024_07_15_12_55_20_66,52.351368133,9.745524467,52.352037017,9.74427075
1721048240.0,maschsee_2024_07_15_12_57_20_67,52.352037017,9.74427075,52.352650067,9.742928433
1721048360.0,maschsee_2024_07_15_12_59_20_68,52.352650067,9.742928433,52.353226767,9.7415556
1721048480.0,maschsee_2024_07_15_13_01_20_69,52.353226767,9.7415556,52.353241,9.741229117
1721048600.0,maschsee_2024_07_15_13_03_20_70,52.353241,9.741229117,52.353332933,9.741493833
1721048720.0,maschsee_2024_07_15_13_05_20_71,52.35333385,9.741495583,52.3533776,9.741707617
1721048840.0,maschsee_2024_07_15_13_07_20_72,52.3533776,9.741707617,52.352528683,9.743325117
1721048960.0,maschsee_2024_07_15_13_09_20_73,52.352528683,9.743325117,52.3517205,9.745087333
1721049080.0,maschsee_2024_07_15_13_11_20_74,52.3517205,9.745087333,52.350547417,9.746146583
1721049200.0,maschsee_2024_07_15_13_13_20_75,52.350547417,9.746146583,52.34927335,9.746836967
1721049320.0,maschsee_2024_07_15_13_15_20_76,52.34927335,9.746836967,52.34805025,9.747607867
