longitude;latitude;depth
9.738612;52.362597;0
9.738755;52.362418;0
9.738729;52.362411;0
9.738791;52.362329;0
9.738852;52.362247;0
9.738883;52.362207;0
9.738899;52.362212;0
9.739038;52.362249;0
9.739048;52.362251;0
9.738951;52.362377;0
9.738941;52.362393;0
9.738953;52.362405;0
9.739046;52.362432;0
9.739107;52.362449;0
9.739299;52.362196;0
9.742867;52.357503;0
9.742813;52.357473;0
9.742789;52.357432;0
9.742794;52.357394;0
9.7428;52.357389;0
9.742836;52.357357;0
9.742874;52.357338;0
9.742942;52.357328;0
9.743001;52.357337;0
9.743035;52.357292;0
9.743184;52.357094;0
9.743142;52.357082;0
9.743326;52.356839;0
9.743368;52.356851;0
9.743409;52.356797;0
9.743552;52.356608;0
9.743517;52.356594;0
9.743489;52.35657;0
9.743487;52.356564;0
9.743475;52.356529;0
9.743473;52.356524;0
9.743486;52.356484;0
9.743529;52.356457;0
9.743541;52.356453;0
9.74356;52.356446;0
9.743581;52.356439;0
9.743596;52.356439;0
9.743642;52.356441;0
9.743672;52.356444;0
9.743686;52.356445;0
9.743786;52.356473;0
9.745627;52.354458;0
9.74541;52.354393;0
9.74548;52.354303;0
9.745622;52.35412;0
9.745366;52.354048;0
9.745453;52.353934;0
9.745709;52.354009;0
9.745743;52.354019;0
9.745779;52.354029;0
9.745792;52.354012;0
9.74594;52.354055;0
9.746089;52.353892;0
9.746127;52.353884;0
9.746156;52.353892;0
9.746522;52.353413;0
9.7468;52.353049;0
9.746929;52.352881;0
9.747179;52.352554;0
9.747654;52.351928;0
9.748467;52.350857;0
9.749494;52.349507;0
9.7503;52.348454;0
9.750336;52.348408;0
9.750349;52.348391;0
9.750472;52.348226;0
9.750491;52.348159;0
9.750492;52.348156;0
9.750472;52.34816;0
9.750467;52.348161;0
9.750456;52.348143;0
9.750417;52.348078;0
9.750395;52.348008;0
9.750402;52.347926;0
9.750424;52.34787;0
9.750429;52.347856;0
9.75048;52.347795;0
9.750543;52.347748;0
9.750622;52.347707;0
9.750702;52.347679;0
9.750794;52.347657;0
9.75086;52.347649;0
9.750964;52.347645;0
9.751054;52.347651;0
9.751148;52.347669;0
9.751355;52.347731;0
9.751382;52.347733;0
9.751411;52.34773;0
9.751425;52.347726;0
9.751461;52.347695;0
9.751605;52.347509;0
9.751724;52.347544;0
9.751857;52.347584;0
9.751885;52.34754;0
9.751919;52.347483;0
9.75199;52.347352;0
9.751997;52.347338;0
9.752013;52.347301;0
9.752015;52.347297;0
9.752082;52.347139;0
9.752109;52.347075;0
9.752138;52.347017;0
9.752239;52.346819;0
9.752296;52.346727;0
9.752325;52.346681;0
9.752398;52.346586;0
9.752519;52.34643;0
9.752865;52.34597;0
9.753358;52.345315;0
9.753381;52.345284;0
9.753497;52.345166;0
9.753669;52.34493;0
9.753694;52.344936;0
9.753853;52.344979;0
9.753859;52.344981;0
9.754206;52.3445;0
9.754264;52.344419;0
9.754301;52.344368;0
9.754317;52.344327;0
9.754357;52.344226;0
9.754369;52.344197;0
9.754371;52.344165;0
9.75438;52.344054;0
9.754381;52.344039;0
9.75437;52.344014;0
9.754343;52.343955;0
9.754156;52.343802;0
9.753942;52.343649;0
9.753717;52.343533;0
9.753499;52.343435;0
9.753274;52.343352;0
9.753009;52.343263;0
9.752636;52.343168;0
9.752207;52.343073;0
9.751812;52.343013;0
9.751413;52.342964;0
9.751036;52.342947;0
9.751014;52.342946;0
9.75099;52.342946;0
9.750652;52.342948;0
9.750627;52.342948;0
9.750616;52.342949;0
9.749908;52.343013;0
9.749923;52.343047;0
9.749501;52.343121;0
9.749469;52.343066;0
9.748943;52.343155;0
9.748823;52.34318;0
